n,test_idx,logscore_total,logscore_gcm,logscore_rcm
5,44,-82975.25330671616,288.89817574463814,-83264.1514824608
5,33,-82724.26744868516,261.179804710985,-82985.44725339615
5,27,-76139.19181317065,286.9450342827152,-76426.13684745337
5,1,-61143.10224348678,398.4949508948956,-61541.59719438167
5,10,-69553.80925836049,349.7836594453345,-69903.59291780581
5,18,-80919.80855738702,295.1166636441658,-81214.92522103118
5,12,-61535.46025150138,371.8305006201773,-61907.29075212155
5,29,-69445.10048638494,369.8450723590495,-69814.94555874397
5,37,-64984.84807776877,338.6149800028525,-65323.46305777162
5,47,-75117.72251350089,318.9973928309075,-75436.7199063318
10,44,-96945.56378191133,291.1113238903974,-97236.67510580174
10,33,-101000.86880887041,264.5611244554734,-101265.42993332588
10,27,-99356.97779946259,271.1822005763398,-99628.16000003893
10,1,-85168.6498251692,362.6747828343649,-85531.32460800355
10,10,-95937.47172874073,299.4686928042366,-96236.94042154498
10,18,-97027.68290397161,295.150193467349,-97322.83309743894
10,12,-85173.94447348261,282.69156223691584,-85456.63603571951
10,29,-84423.66596794955,339.1675187075473,-84762.83348665708
10,37,-85941.56729139632,311.69443119569013,-86253.26172259201
10,47,-92206.0884909496,335.68471146052116,-92541.77320241011
15,44,-107612.27050428059,243.71130097584228,-107855.98180525644
15,33,-115088.96247538712,216.704786237517,-115305.6672616246
15,27,-110974.7480301738,230.78707189240947,-111205.5351020662
15,1,-99019.58847605465,283.80074862955485,-99303.38922468422
15,10,-106943.31839952424,262.25848536692996,-107205.5768848912
15,18,-107720.63470517314,257.35572897454216,-107977.99043414768
15,12,-94113.27907263616,245.748822482705,-94359.02789511887
15,29,-93503.21750071963,306.7117870373296,-93809.92928775697
15,37,-98920.97710156228,264.0507676177475,-99185.02786918003
15,47,-103951.86087876008,280.8642710014863,-104232.72514976157
20,44,-113888.15570976233,208.30449734530146,-114096.46020710764
20,33,-119896.63948096898,190.75270848612752,-120087.39218945512
20,27,-116696.92371128566,200.88405790629764,-116897.80776919198
20,1,-103815.07837222543,252.53565684468876,-104067.6140290701
20,10,-111343.85783979195,234.1986952784327,-111578.05653507038
20,18,-115352.93398563811,216.44035400007112,-115569.37433963819
20,12,-97527.9073278599,226.0703638565304,-97753.97769171643
20,29,-98694.46800493439,281.83563256978823,-98976.30363750418
20,37,-102904.29013296025,238.64708795730212,-103142.93722091755
20,47,-109678.39429239104,253.40155516348915,-109931.79584755453
25,44,-118407.55160630737,198.48815295394604,-118606.03975926133
25,33,-125163.3276846192,169.30705168624388,-125332.63473630547
25,27,-123090.6426991063,174.08834319709928,-123264.73104230339
25,1,-107492.09558307458,238.00234862647153,-107730.09793170105
25,10,-116146.96940696312,214.29917241324262,-116361.26857937637
25,18,-119655.87443571068,198.5702864869467,-119854.4447221976
25,12,-102567.26568217322,204.2437974547433,-102771.50947962797
25,29,-103641.01180922594,266.7112714535342,-103907.72308067948
25,37,-107432.49939301952,230.5313728741142,-107663.03076589364
25,47,-114206.43698906779,233.11388233880956,-114439.55087140661
30,44,-119488.17757937922,185.62819023098692,-119673.80576961018
30,33,-126650.01436747427,156.80140046886322,-126806.81576794313
30,27,-126662.27195194703,152.61026216912586,-126814.88221411615
30,1,-108340.7170224713,217.22700764475195,-108557.94403011605
30,10,-117401.48036156739,199.3945228555528,-117600.87488442293
30,18,-120871.74048242482,192.73868200217413,-121064.47916442699
30,12,-103634.86742532649,191.57500068378295,-103826.44242601027
30,29,-104409.69888719558,258.67940806388924,-104668.37829525946
30,37,-108959.21170420166,222.87205029778835,-109182.08375449944
30,47,-115552.53296406844,221.03805100854322,-115773.57101507697
35,44,-120521.30823226072,174.24103694411698,-120695.54926920486
35,33,-127711.91397975927,147.01061116120204,-127858.92459092048
35,27,-128149.74686744495,143.58466330611628,-128293.33153075106
35,1,-109208.4069312537,199.69870046946625,-109408.10563172316
35,10,-118056.44643997119,185.83916245963613,-118242.28560243081
35,18,-122041.47197229932,182.04064089126067,-122223.51261319057
35,12,-105260.21879833934,171.05952359779093,-105431.2783219371
35,29,-105280.39463492742,239.0681981117049,-105519.46283303913
35,37,-110557.64351740133,209.71743821980854,-110767.36095562114
35,47,-116871.5412037572,207.52101359856354,-117079.06221735576
40,44,-124068.98441522021,163.60299970753294,-124232.58741492774
40,33,-131323.5212320133,139.16705723244914,-131462.68828924577
40,27,-131501.1229094529,134.302585960156,-131635.42549541307
40,1,-112423.66914300909,188.7175958011825,-112612.38673881028
40,10,-121905.20094529775,170.38795363310956,-122075.58889893089
40,18,-125888.6882471324,175.00060262092876,-126063.68884975334
40,12,-108563.6945629032,163.94568392455005,-108727.64024682777
40,29,-109440.46697442194,223.5400653708802,-109664.0070397928
40,37,-114043.53857574599,207.10547564568827,-114250.64405139169
40,47,-120442.50645698111,195.16212976908307,-120637.6685867502
